region,comuna,hh_d_acc,hh_d_accesi,hh_d_act,hh_d_appart,hh_d_asis,hh_d_cot,hh_d_entorno,hh_d_esc,hh_d_estado,hh_d_habitab,hh_d_hacina,hh_d_jub,hh_d_mal,hh_d_medio,hh_d_prevs,hh_d_rez,hh_d_seg,hh_d_servbas,hh_d_tsocial,pobreza_multi_4d,pobreza_multi_5d
Region de La Araucania,Saavedra,0.08438818565400844,0.11715481171548117,0.13807531380753138,0.02510460251046025,0.03765690376569038,0.6,0.1297071129707113,0.5857740585774058,0.28870292887029286,0.3514644351464435,0.1297071129707113,0.07531380753138076,0.06694560669456066,0.012552301255230125,0.04184100418410042,0,0.04184100418410042,0.38493723849372385,0.200836820083682,0.463519313304721,0.48497854077253216
Region de La Araucania,Temuco,0.049274568847522585,0.0451107509454349,0.12182603997839006,0.03191777116581011,0.016477579686655863,0.33469276780859164,0.07347379794705565,0.25614698730072955,0.13775372124492558,0.1847237269772481,0.06434171397675047,0.10480821177741761,0.05510314875135722,0.028363047001620744,0.05070498915401302,0.02652232746955345,0.037817396002161,0.0564559697460832,0.09697460831982713,0.14983258928571427,0.16308293772689192
Region de La Araucania,Teodoro Schmidt,0.01048951048951049,0.12413793103448276,0.13448275862068965,0.05517241379310345,0,0.5392857142857143,0.12413793103448276,0.5508771929824562,0.21724137931034482,0.2689655172413793,0.07931034482758621,0.06896551724137931,0.041379310344827586,0,0.024305555555555556,0.041379310344827586,0.017241379310344827,0.19655172413793104,0.08275862068965517,0.2426470588235294,0.2757352941176471
Region de La Araucania,Tolten,0.02834008097165992,0.18359375,0.19140625,0.00390625,0.0234375,0.5393700787401575,0.18359375,0.515625,0.14453125,0.24609375,0.12109375,0.1328125,0.18359375,0,0,0.02734375,0,0.36328125,0.1171875,0.38524590163934425,0.430327868852459
Region de La Araucania,Traiguen,0.06201550387596899,0.06718346253229975,0.09819121447028424,0.08808290155440414,0.00516795865633075,0.31592689295039167,0.06718346253229975,0.4671916010498688,0.13989637305699482,0.24935064935064935,0.12176165803108809,0.12403100775193798,0.11627906976744186,0,0.015625,0.09560723514211886,0.015503875968992248,0.18087855297157623,0.07235142118863049,0.2903225806451613,0.3018867924528302
Region de La Araucania,Victoria,0.04696969696969697,0.06656580937972768,0.13313161875945537,0.06505295007564296,0.03328290468986384,0.4166666666666667,0.07715582450832073,0.4574468085106383,0.19664634146341464,0.30559757942511345,0.14069591527987896,0.10287443267776097,0.13313161875945537,0.01059001512859304,0.045454545454545456,0.0226928895612708,0.012102874432677761,0.11515151515151516,0.07110438729198185,0.3235747303543914,0.3333333333333333
Region de La Araucania,Vilcun,0.06463878326996197,0.24667931688804554,0.12144212523719165,0.03415559772296015,0.022770398481973434,0.3946360153256705,0.24667931688804554,0.655893536121673,0.21755725190839695,0.3187022900763359,0.13282732447817835,0.09487666034155598,0.05152671755725191,0,0.018975332068311195,0.007590132827324478,0.013282732447817837,0.3738140417457306,0.1062618595825427,0.35009671179883944,0.4564796905222437
Region de La Araucania,Villarrica,0.03708791208791209,0.05737704918032787,0.05874316939890711,0.006839945280437756,0.01366120218579235,0.4133148404993065,0.05737704918032787,0.41939890710382516,0.11612021857923498,0.20218579234972678,0.1092896174863388,0.11885245901639344,0.07565337001375516,0,0.04644808743169399,0.036885245901639344,0.020491803278688523,0.10245901639344263,0.09016393442622951,0.2148876404494382,0.2320675105485232
Region de Los Lagos,Ancud,0.011516314779270634,0.08253358925143954,0.09213051823416507,0.028790786948176585,0.0345489443378119,0.38,0.08846153846153847,0.45489443378119004,0.1362763915547025,0.19769673704414586,0.061420345489443376,0.07485604606525911,0.04222648752399232,0.007692307692307693,0.06563706563706563,0.07677543186180422,0.019193857965451054,0.19001919385796545,0.09021113243761997,0.22736418511066397,0.2782258064516129
Region de Los Lagos,Calbuco,0.02004008016032064,0.11359026369168357,0.04208416833667335,0.02404809619238477,0.04809619238476954,0.5290581162324649,0.11359026369168357,0.5210420841683366,0.18837675350701402,0.2565130260521042,0.09018036072144289,0.09218436873747494,0.1346938775510204,0,0.006012024048096192,0.04408817635270541,0.004008016032064128,0.48697394789579157,0.04408817635270541,0.40816326530612246,0.4607438016528926
Region de Los Lagos,Castro,0.015105740181268883,0.08221225710014948,0.07025411061285501,0.055639097744360905,0.04783258594917788,0.32379518072289154,0.11659192825112108,0.3991031390134529,0.13901345291479822,0.17787742899850523,0.059790732436472344,0.07324364723467862,0.061285500747384154,0.0343796711509716,0.042105263157894736,0.03288490284005979,0.005979073243647235,0.24550898203592814,0.11509715994020926,0.22392638036809817,0.27314814814814814
Region de Los Lagos,Chonchi,0,0.1038961038961039,0.04329004329004329,0.017543859649122806,0.06926406926406926,0.37168141592920356,0.1341991341991342,0.4588744588744589,0.10822510822510822,0.10822510822510822,0.012987012987012988,0.05627705627705628,0.06926406926406926,0.030303030303030304,0.08733624454148471,0.030303030303030304,0.03896103896103896,0.29004329004329005,0.06926406926406926,0.24107142857142858,0.2895927601809955
